2019-01-22 11-38-04-0636: KSJAPI::Api Version     = 8.0.0.6 
2019-01-22 11-38-04-0636: KSJAPI::Device Type     = 102 
2019-01-22 11-38-04-0636: KSJAPI::Serial          = 255  
2019-01-22 11-38-04-0636: KSJAPI::FirmwareVersion = 2.1  
2019-01-22 11-38-04-0636: KSJAPI:: __FUNCTION__ = AddCamera 
2019-01-22 11-38-04-0636: KSJAPI::Api Version     = 8.0.0.6 
2019-01-22 11-38-04-0636: KSJAPI::Device Type     = 102 
2019-01-22 11-38-04-0636: KSJAPI::Serial          = 255  
2019-01-22 11-38-04-0636: KSJAPI::FirmwareVersion = 2.1  
2019-01-22 11-38-04-0637: KSJAPI:: __FUNCTION__ = AddCamera 
2019-01-22 11-38-04-0637: KSJAPI::szDllName = libksjcam_102.so  dlopen success
2019-01-22 11-38-04-0637: KSJAPI::szDllName = libksjcam_102.so  dlopen success
2019-01-22 11-38-04-0638: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57855(0xe1ff), Return = 0
2019-01-22 11-38-04-0639: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57595(0xe0fb), Return = 0
2019-01-22 11-38-04-0639: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 02048(0x0800), Return = 0
2019-01-22 11-38-04-0640: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 02048(0x0800), Return = 0
2019-01-22 11-38-04-0640: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57595(0xe0fb), Return = 0
2019-01-22 11-38-04-0641: KSJAPI::RdFpga Address = 0128(0x0080), Value = 57595(0xe0fb), Return = 0
2019-01-22 11-38-04-0642: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 02048(0x0800), Return = 0
2019-01-22 11-38-04-0642: KSJAPI::RdFpga Address = 0241(0x00f1), Value = 02048(0x0800), Return = 0
2019-01-22 11-38-04-0643: KSJAPI::RdFpga Address = 0255(0x00ff), Value = 00000(0x0000), Return = 0
2019-01-22 11-38-04-0643: KSJAPI::RdFpga Address = 0255(0x00ff), Value = 00000(0x0000), Return = 0
2019-01-22 11-38-04-0644: KSJAPI::RdFpga Address = 0131(0x0083), Value = 65535(0xffff), Return = 0
2019-01-22 11-38-04-0644: KSJAPI::RdFpga Address = 0131(0x0083), Value = 65535(0xffff), Return = 0
2019-01-22 11-38-04-0645: KSJAPI::RdFpga Address = 0137(0x0089), Value = 00257(0x0101), Return = 0
2019-01-22 11-38-04-0645: KSJAPI::RdFpga Address = 0137(0x0089), Value = 00257(0x0101), Return = 0
2019-01-22 11-38-04-0650: KSJAPI::RdFpga Address = 0147(0x0093), Value = 05693(0x163d), Return = 0
2019-01-22 11-38-04-0650: KSJAPI::RdFpga Address = 0147(0x0093), Value = 05693(0x163d), Return = 0
2019-01-22 11-38-04-0650: KSJAPI::RdFpga Address = 0148(0x0094), Value = 63284(0xf734), Return = 0
2019-01-22 11-38-04-0651: KSJAPI::RdFpga Address = 0148(0x0094), Value = 63284(0xf734), Return = 0
2019-01-22 11-38-04-0651: KSJAPI::RdFpga Address = 0149(0x0095), Value = 00655(0x028f), Return = 0
2019-01-22 11-38-04-0652: KSJAPI::RdFpga Address = 0149(0x0095), Value = 00655(0x028f), Return = 0
2019-01-22 11-38-04-0652: KSJAPI::RdFpga Address = 0150(0x0096), Value = 64267(0xfb0b), Return = 0
2019-01-22 11-38-04-0652: KSJAPI::RdFpga Address = 0150(0x0096), Value = 64267(0xfb0b), Return = 0
2019-01-22 11-38-04-0653: KSJAPI::RdFpga Address = 0151(0x0097), Value = 05079(0x13d7), Return = 0
2019-01-22 11-38-04-0653: KSJAPI::RdFpga Address = 0151(0x0097), Value = 05079(0x13d7), Return = 0
2019-01-22 11-38-04-0654: KSJAPI::RdFpga Address = 0152(0x0098), Value = 00286(0x011e), Return = 0
2019-01-22 11-38-04-0654: KSJAPI::RdFpga Address = 0152(0x0098), Value = 00286(0x011e), Return = 0
